Name,City,Country,IATA
Goroka Airport,Goroka,Papua New Guinea,GKA
Madang Airport,Madang,Papua New Guinea,MAG
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU
Nadzab Airport,Nadzab,Papua New Guinea,LAE
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM
Wewak International Airport,Wewak,Papua New Guinea,WWK
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ
Akureyri Airport,Akureyri,Iceland,AEY
Egilsstaðir Airport,Egilsstadir,Iceland,EGS
Ísafjörður Airport,Isafjordur,Iceland,IFJ
Keflavik International Airport,Keflavik,Iceland,KEF
Reykjavik Airport,Reykjavik,Iceland,RKV
Baie Comeau Airport,Baie Comeau,Canada,YBC
CFB Bagotville,Bagotville,Canada,YBG
Cambridge Bay Airport,Cambridge Bay,Canada,YCB
Charlo Airport,Charlo,Canada,YCL
Kugluktuk Airport,Coppermine,Canada,YCO
Clyde River Airport,Clyde River,Canada,YCY
Deer Lake Airport,Deer Lake,Canada,YDF
Edmonton International Airport,Edmonton,Canada,YEG
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV
Iqaluit Airport,Iqaluit,Canada,YFB
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR
Ulukhaktok Holman Airport,Holman Island,Canada,YHI
Gjoa Haven Airport,Gjoa Haven,Canada,YHK
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY
Halifax / Stanfield International Airport,Halifax,Canada,YHZ
Pond Inlet Airport,Pond Inlet,Canada,YIO
Sochi International Airport,Sochi,Russia,AER
Astrakhan Airport,Astrakhan,Russia,ASF
Chelyabinsk Balandino Airport,Chelyabinsk,Russia,CEK
Belgorod International Airport,Belgorod,Russia,EGO
Kazan International Airport,Kazan,Russia,KZN
Mineralnyye Vody Airport,Mineralnye Vody,Russia,MRV
Tolmachevo Airport,Novosibirsk,Russia,OVB
Begishevo Airport,Nizhnekamsk,Russia,NBC
Taganrog Yuzhny Airport,Taganrog,Russia,TGK
Bugulma Airport,Bugulma,Russia,UUA
Khrabrovo Airport,Kaliningrad,Russia,KGD
Domodedovo International Airport,Moscow,Russia,DME
Heydar Aliyev International Airport,Baku,Azerbaijan,GYD
